|||Timestamp (ms)||	Feedback|||
104 -1.0;0.0;-10.0;0.0;0;0;0;0
1064 Resetting the RTOS
2706 X Encoder Successfully Initialized
2708 X Limit Switch Successfully Initialized
2709 Z Encoder Successfully Initialized
2720 Z Limit Switch Successfully Initialized
2721 Y Encoder Successfully Initialized
2721 Y Limit Switch Successfully Initialized
2732 P Encoder Successfully Initialized
2733 P Limit Switch Successfully Initialized
2743 X Stepper Successfully Initialized
2744 Z Stepper Successfully Initialized
2755 Y Stepper Successfully Initialized
2755 P Stepper Successfully Initialized
2776 Running the MUVI Manipulator RTOS
2979 3.0;0.0;0.0;0.0;0;0;0;0
37784 e;y
39232 3.0;0.0;0.0;0.0;0;0;0;0
42738 t;y;8
44199 3.0;0.0;0.0;0.0;0;0;0;0
45223 m;y
46702 3.0;0.0;26.0;0.0;0;0;0;0
46724 s;y;11.5
46745 3.0;0.0;26.0;0.0;0;0;0;0
47769 t;y;256
49238 3.0;0.0;26.0;0.0;0;0;0;0
50262 m;y
51761 3.0;0.0;26.0;0.0;0;0;0;0
51783 s;y;25.5
51804 3.0;0.0;26.0;0.0;0;0;0;0
72961 t;y;8
74411 3.0;0.0;26.0;0.0;0;0;0;0
75446 m;y
76896 3.0;0.0;23.0;0.0;0;0;0;0
76937 s;y;1.5
76960 3.0;0.0;23.0;0.0;0;0;0;0
77983 t;y;256
79438 3.0;0.0;21.0;0.0;0;0;0;0
80473 m;y
81954 3.0;0.0;21.0;0.0;0;0;0;0
81976 s;y;12.5
81997 3.0;0.0;21.0;0.0;0;0;0;0
82101 3.0;0.0;20.0;0.0;0;0;0;0
98225 t;y;8
99674 3.0;0.0;20.0;0.0;0;0;0;0
100709 m;y
102167 3.0;0.0;11.0;0.0;0;0;0;0
102199 s;y;2.5
102221 3.0;0.0;11.0;0.0;0;0;0;0
103255 t;y;256
104937 3.0;0.0;11.0;0.0;0;0;0;0
105982 m;y
107694 3.0;0.0;11.0;0.0;0;0;0;0
107726 s;y;14.5
107756 3.0;0.0;11.0;0.0;0;0;0;0
108295 3.0;0.0;12.0;0.0;0;0;0;0
109876 3.0;0.0;13.0;0.0;0;0;0;0
123332 t;y;8
125632 3.0;0.0;13.0;0.0;0;0;0;0
126676 m;y
129107 3.0;0.0;9.0;0.0;0;0;0;0
129159 s;y;1.5
129191 3.0;0.0;9.0;0.0;0;0;0;0
130235 t;y;256
132667 3.0;0.0;9.0;0.0;0;0;0;0
133721 m;y
136253 3.0;0.0;9.0;0.0;0;0;0;0
136285 s;y;39.5
136306 3.0;0.0;9.0;0.0;0;0;0;0
136748 3.0;0.0;10.0;0.0;0;0;0;0
151156 t;y;8
153566 3.0;0.0;11.0;0.0;0;0;0;0
154612 m;y
157045 3.0;0.0;11.0;0.0;0;0;0;0
157088 s;y;39.5
157119 3.0;0.0;11.0;0.0;0;0;0;0
158173 t;y;256
160605 3.0;0.0;11.0;0.0;0;0;0;0
161660 m;y
164182 3.0;0.0;8.0;0.0;0;0;0;0
164215 s;y;37.5
164236 3.0;0.0;8.0;0.0;0;0;0;0
368393 d;y
370815 3.0;0.0;8.0;0.0;0;0;0;0
379181 e;p
381595 3.0;0.0;8.0;0.0;0;0;0;0
496414 t;p;8
498843 3.0;0.0;8.0;0.0;0;0;0;0
499899 m;p
502353 3.0;0.0;8.0;5.0;0;0;0;0
502416 s;p;1.5
502448 3.0;0.0;8.0;5.0;0;0;0;0
503492 t;p;256
505883 3.0;0.0;8.0;5.0;0;0;0;0
506916 m;p
509371 3.0;0.0;8.0;6.0;0;0;0;0
509403 s;p;14.5
509425 3.0;0.0;8.0;6.0;0;0;0;0
510011 3.0;0.0;8.0;5.0;0;0;0;0
538647 3.0;0.0;8.0;4.0;0;0;0;0
576256 d;z
578699 3.0;0.0;8.0;4.0;0;0;0;0
580536 d;x
582986 3.0;0.0;8.0;4.0;0;0;0;0
586349 e;x
588780 1.0;0.0;8.0;4.0;0;0;0;0
589982 e;z
592423 1.0;0.0;8.0;4.0;0;0;0;0
597311 t;x;4
599725 0.0;0.0;8.0;4.0;0;0;0;0
600760 m;x
603322 -420.0;0.0;8.0;4.0;0;0;0;0
603386 -445.0;0.0;8.0;4.0;0;0;0;0
603468 -470.0;0.0;8.0;4.0;0;0;0;0
603550 -500.0;0.0;8.0;4.0;0;0;0;0
603622 -531.0;0.0;8.0;4.0;0;0;0;0
603705 -566.0;0.0;8.0;4.0;0;0;0;0
603807 -606.0;0.0;8.0;4.0;0;0;0;0
603869 -625.0;0.0;8.0;4.0;0;0;0;0
603931 -655.0;0.0;8.0;4.0;0;0;0;0
603993 -681.0;0.0;8.0;4.0;0;0;0;0
604065 -714.0;0.0;8.0;4.0;0;0;0;0
604126 -740.0;0.0;8.0;4.0;0;0;0;0
604188 -767.0;0.0;8.0;4.0;0;0;0;0
604261 -807.0;0.0;8.0;4.0;0;0;0;0
604334 -830.9999;0.0;8.0;4.0;0;0;0;0
604407 -871.0;0.0;8.0;4.0;0;0;0;0
604491 -911.0;0.0;8.0;4.0;0;0;0;0
604583 -962.0;0.0;8.0;4.0;0;0;0;0
604666 -1002.0;0.0;8.0;4.0;0;0;0;0
604770 -1052.0;0.0;8.0;4.0;0;0;0;0
604832 -1088.0;0.0;8.0;4.0;0;0;0;0
604904 -1128.0;0.0;8.0;4.0;0;0;0;0
604967 -1162.0;0.0;8.0;4.0;0;0;0;0
605030 -1197.0;0.0;8.0;4.0;0;0;0;0
605103 -1243.0;0.0;8.0;4.0;0;0;0;0
605166 -1277.0;0.0;8.0;4.0;0;0;0;0
605248 -1322.0;0.0;8.0;4.0;0;0;0;0
605331 -1368.0;0.0;8.0;4.0;0;0;0;0
605403 -1417.0;0.0;8.0;4.0;0;0;0;0
605486 -1467.0;0.0;8.0;4.0;0;0;0;0
605589 -1528.0;0.0;8.0;4.0;0;0;0;0
605692 -1592.0;0.0;8.0;4.0;0;0;0;0
605787 -1657.0;0.0;8.0;4.0;0;0;0;0
605850 -1697.0;0.0;8.0;4.0;0;0;0;0
605912 -1737.0;0.0;8.0;4.0;0;0;0;0
605984 -1793.0;0.0;8.0;4.0;0;0;0;0
